Timestamp,1. Age,2.  Gender:,3. Nationality:,4. How long have you lived in Nigeria? (For Cameroonian refugees only),Ko5. How long have you been in this community since Cameroonians came (Nigerians only)? ,"
6. What was the primary reason for leaving Cameroon?",7.  Did you come to Nigeria alone or with family?,8. Do you feel safe in your current location?,9.  Have you or someone you know experienced security threats or conflicts in Nigeria?,10. Have there been any reported incidents of crime or violence involving refugees and local communities?,11. How would you describe the relationship between Cameroonian refugees and Nigerians?,12. What are the major security concerns faced by Cameroonian refugees in Nigeria?,13.  What are the major security concerns faced by Nigerians as a result of the presence of refugees? (Nigerians Only),"14. Are there opportunities for Cameroonian refugees to integrate into Nigerian society (e.g., work, education, social support)?",15.What support do you think the Nigerian government should provide to both refugees and host communities to improve security?,16. Do you have any recommendations on how to improve relations between Cameroonian refugees and Nigerians?
1/29/2026 16:25:23,B) 26-35,B) Female,B) Nigerian,,6 years,,,A) Yes,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,Theft,A) Yes,B) Livelihood programs,None
1/29/2026 16:27:04,B) 26-35,A) Male,B) Nigerian,D) More than 6 years,7,,,A) Yes,B) NO,A) Yes,B) Neutral,A) Harassment by security forces,A risk of a spillover of the crisis into Nigeria,A) Yes,A) More security presence,Not really
1/29/2026 18:05:26,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,For 7years,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,Nigerians should be made to understand that refugees was a creation as a result of conflicts not a course
1/29/2026 18:12:38,C) 36-45,B) Female,A) Cameroonian,C) 4-6 years,4years,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,Nigerians see us as sex workers we are not respected,Sometimes but are often sexually harassed,B) Livelihood programs,Creat a confusing atmosphere for mutual co habitation
1/29/2026 20:44:31,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,"Yes. integration activities such as livelihood programs combined. football games, sensitization "
1/30/2026 9:07:54,B) 26-35,A) Male,A) Cameroonian,B) 1-3 years,,A) Conflict/Insecurity,A) Alone,A) Yes,B) NO,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,Nigerian should always remember southern Cameroonian are their brothers. 
1/30/2026 9:29:58,C) 36-45,B) Female,B) Nigerian,,7 years,,,A) Yes,A) Yes,A) Yes,A) Friendly,Coexistence and free will to work like the indigenes,Human right injustice,"Work is still an issue, Cameroonian refugees generally are allowed to do labourers work, but allowing them involve in white collar jobs is still an issue for them",B) Livelihood programs,Continuous sensitization awareness by the authority on the importance of coexistence and integration into the society at all levels is one.
1/30/2026 9:36:58,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,8 years,C) Political persecution,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,"Food shortage,  , housing ",Only education that has minimal opportunity ,B) Livelihood programs,There should be more integration  programme for them
1/31/2026 20:00:17,C) 36-45,A) Male,A) Cameroonian,C) 4-6 years,5 years ,C) Political persecution,A) Alone,Refugees have been disappearing and no one knows anything next to their whereabouts. UNHCR has no cl,,A) Yes,A) Friendly,A) Harassment by security forces,"No security concerns. Rather, the presence of Cameroonian refugees across several locations in Nigeria is a blessing to those communities with lots of infrastructure development carried out by the UNHCR. ",There are no known opportunities with regards to the aforementioned thematic areas. The system is stiffening. ,B) Livelihood programs,Create more jobs for Nigerian youths while loosing the policy barriers which hinder proper economic integration for Cameroonian refugees. 
2/1/2026 5:36:25,C) 36-45,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,A) Alone,To many experiences of bandits make me and my family leave in fear,A) Yes,A) Yes,A) Friendly,A blend of all three above,,Opportunities are very scanty and mostly not skilled-base,A) More security presence,More common meetings and discussions on integfration matters
2/1/2026 15:04:21,B) 26-35,A) Male,B) Nigerian,,Over 6 years,,,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,Land tussle for farming,A) Yes,B) Livelihood programs,More livelihood programs for better integration.
2/2/2026 8:55:12,C) 36-45,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,Fear of retribution,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,Provide sustainable livelihood programs for both communities
2/2/2026 9:45:31,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,A) Friendly,B) Attacks by locals,,A) Yes,A) More security presence,Sensitization 
2/2/2026 17:13:31,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,"Faced a lot of problems with SEMA,my hand was dislocated at the shoulder till now I can't use the hand for long",A) Yes,A) Yes,C) Tense,B) Attacks by locals,,A) Yes,C) Community sensitization,Let the government sensitise her community 
2/2/2026 17:26:29,A) 18-25,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,B) No,C) Tense,C) Economic exploitation,,A) Yes,B) Livelihood programs,No recommendations 
2/2/2026 18:08:00,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,E) Other (please specify),B) With family,A) Yes,B) NO,A) Yes,A) Friendly,B) Attacks by locals,,A) Yes,B) Livelihood programs,"Yes i think the Nigerians should treat the refugees like their own brothers and such as if they is any refugees that is ready to do farm work, the host community should alteast give he/She a portion to cultivate. Thank you "
2/2/2026 20:15:43,D) 46-60,A) Male,B) Nigerian,,Not living in the community ,,,,,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,C) Community sensitization,None
2/4/2026 15:57:52,C) 36-45,A) Male,A) Cameroonian,D) More than 6 years,,C) Political persecution,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,Nothing for now
2/5/2026 7:25:26,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,They should always welcome cameroonian  like their own brothers and sisters 
2/5/2026 19:46:01,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,Living conditions here is not good as compare back in my country ck in ,A) Yes,A) Yes,C) Tense,C) Economic exploitation,,A) Yes,B) Livelihood programs,Government should allow refugees work in their institution as Nigerian with a salary pay this will improve the relationship and a strong one 
2/5/2026 19:57:24,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,"because of difficulties , hardship, and other insecurity in the  location ",A) Yes,A) Yes,C) Tense,C) Economic exploitation,,A) Yes,B) Livelihood programs,the government should employ both Nigerians and refugees to work in their institution and industry 
2/5/2026 20:45:57,B) 26-35,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,C) Tense,C) Economic exploitation,,A) Yes,B) Livelihood programs,Create job opportunities for refugees and Nigerians 
2/5/2026 21:00:40,C) 36-45,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no security ,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,improve on hospitals  and jobs opportunities for both Nigerians and refugees 
2/5/2026 21:07:21,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,Lack of  security ,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs, Allow jobs opportunities for both Nigerians and refugees 
2/5/2026 21:17:41,E) 60+,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,C) Tense,C) Economic exploitation,,A) Yes,B) Livelihood programs,Create livelihood to both Nigerians and refugees 
2/5/2026 21:38:30,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no security ,A) Yes,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,create job opportunities and bring livelihood 
2/5/2026 21:41:47,A) 18-25,A) Male,A) Cameroonian,D) More than 6 years,,B) Economic hardship,B) With family,Lack of security ,A) Yes,A) Yes,C) Tense,C) Economic exploitation,,A) Yes,B) Livelihood programs,Improve in livelihood to both Nigerians and refugees 
2/5/2026 21:49:35,C) 36-45,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,B) No,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,More sensitisation 
2/5/2026 22:06:56,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,Black of security ,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,improve livelihood both Nigerians and refugees 
2/6/2026 12:01:39,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family, black insecurity and fare of death ,A) Yes,A) Yes,B) Neutral,"Harassment by security forces, Attacks by locals and Economic exploration ",,A) Yes,B) Livelihood programs,improve livelihood skills both Nigerians and cameroonia refugees 
2/6/2026 12:06:37,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no security and fear of thief ,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,B) Livelihood programs,improve livelihood skills both Nigerians and cameroonia refugees 
2/6/2026 12:11:55,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no security and no good living conditions ,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,B) Livelihood programs,brings livelihood programs for both Nigerians and cameroonia refugees 
2/6/2026 12:42:19,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,A) Yes,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,brings livelihood skills both Nigerians and cameroonia refugees 
2/6/2026 12:54:50,D) 46-60,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no security ,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,A) More security presence,Government should improve  in livelihood skills for the both Nigerians and cameroonia refugees and improve in security measures to both Nigerians and cameroonia refugees 
2/6/2026 15:43:27,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,B) No,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,No
2/6/2026 16:17:58,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,improve livelihood skills both Nigerians and cameroonia refugees 
2/6/2026 21:21:41,E) 60+,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,The government should employ both Nigerians and cameroonia refugees to work 
2/6/2026 21:27:24,D) 46-60,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,Government should provide madicial treatment equal for both Nigerians and cameroonia refugees 
2/6/2026 21:30:58,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,government should make sure treat refugees equal as Nigerians 
2/6/2026 21:34:56,E) 60+,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,no security and fear of thief ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,Government should improve livelihood skills both Nigerians and cameroonia refugees 
2/6/2026 21:38:25,B) 26-35,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence,government should provide more security for both Nigerians and cameroonia refugees 
2/8/2026 17:14:35,D) 46-60,A) Male,B) Nigerian,,10,,,,B) NO,A) Yes,A) Friendly,,None,A) Yes,C) Community sensitization,Some community boys harass both refugees and host community people and it is not good.
2/8/2026 17:32:43,B) 26-35,A) Male,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,None,A) Yes,B) Livelihood programs,Both should treated equally in livelihood and education 
2/8/2026 17:44:48,B) 26-35,B) Female,B) Nigerian,,5 years,,,,,A) Yes,A) Friendly,,There is no security concern ,A) Yes,B) Livelihood programs,I don't have any
2/8/2026 17:53:13,C) 36-45,A) Male,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,None,A) Yes,B) Livelihood programs,Organising sporting activities for both.
2/8/2026 17:58:14,A) 18-25,B) Female,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,None ,A) Yes,B) Livelihood programs,Constant meeting between refugees leaders and host community leaders.
2/8/2026 18:07:52,D) 46-60,B) Female,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,None,A) Yes,B) Livelihood programs,None
2/8/2026 18:16:50,B) 26-35,A) Male,B) Nigerian,,5 years ,,,A) Yes,,A) Yes,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,Bringing programmes that involves both refugees and community 
2/8/2026 18:25:54,D) 46-60,B) Female,B) Nigerian,,8 years,,,,,A) Yes,A) Friendly,,No one,A) Yes,B) Livelihood programs,Nothing 
2/8/2026 18:38:57,B) 26-35,B) Female,B) Nigerian,,6 years,,,,,A) Yes,A) Friendly,,We don't have any challenge ,A) Yes,B) Livelihood programs,Nothing 
2/16/2026 8:43:17,C) 36-45,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,B) NO,B) No,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,The government should support refugee businesses 
2/16/2026 8:44:47,E) 60+,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,B) NO,B) No,A) Friendly,C) Economic exploitation,,A) Yes,B) Livelihood programs,No
2/16/2026 14:42:39,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,Theft ,A) Yes,A) More security presence,I think they should be more friendly with the Nigerians rather than fighting among themselves 
2/16/2026 14:45:33,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,No
2/17/2026 7:19:00,A) 18-25,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,No 
2/17/2026 7:21:58,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,C) Tense,A) Harassment by security forces,,A) Yes,A) More security presence,No
2/17/2026 7:24:05,A) 18-25,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,C) Tense,A) Harassment by security forces,,A) Yes,A) More security presence,We need more lively hood
2/17/2026 7:26:34,D) 46-60,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,B) No (If no explain below),A) Yes,A) Yes,C) Tense,B) Attacks by locals,,A) Yes,A) More security presence,More economic support 
2/17/2026 7:28:41,C) 36-45,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,A) Yes,C) Tense,A) Harassment by security forces,,A) Yes,A) More security presence,We need economy support 
2/17/2026 7:32:41,C) 36-45,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,A) More security presence,More economic support 
2/17/2026 8:10:52,D) 46-60,B) Female,A) Cameroonian,C) 4-6 years,,C) Political persecution,A) Alone,because of insecurity ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,, because of the Financial constraints ,A) More security presence, resettle the  refugees and provide livelihood skills both Nigerians and refugees 
2/17/2026 8:50:55,A) 18-25,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,B) NO,B) No,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,Collaborative livelihoods programs where both refugees and locals can work together e.g farming cooperatives and vocational training.
2/17/2026 8:52:26,A) 18-25,A) Male,A) Cameroonian,D) More than 6 years,8yrs,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,A) Friendly,A) Harassment by security forces,,B) NO (If No select Other and explain),B) Livelihood programs,"yes, 
as it stands they is no security in the settlement so they is an open entering in the settlement so host communities are intimidating refugees so if they is a sensitization in the settlement and host community  "
2/17/2026 8:55:59,B) 26-35,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,I don't feel safe because the host community have always been a threat to me in this settlement ,A) Yes,A) Yes,B) Neutral,B) Attacks by locals,,A) Yes,A) More security presence,No I don't 
2/17/2026 9:11:11,B) 26-35,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,A) Yes,A) Yes,B) No,A) Friendly,A) Harassment by security forces,,A) Yes,B) Livelihood programs,"We need more of livelihood programs, Community sensitization to both refugees host community and Nigeria forces so they can stop harassing refugees. This has cause many refugee to start getting Nigeria national in other to stop harassment. And a situation whereby Cameroonian refugees can use their Cameroon certificates to work in Nigeria."
2/17/2026 9:12:01,A) 18-25,B) Female,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,insecurity and living conditions of the current location ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,improve livelihood skills both Nigerians and cameroonia refugees 
2/17/2026 9:13:33,A) 18-25,A) Male,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,B) No (If no explain below),A) Yes,A) Yes,B) Neutral,A) Harassment by security forces,,A) Yes,B) Livelihood programs,No
2/17/2026 9:18:21,A) 18-25,A) Male,A) Cameroonian,C) 4-6 years,,A) Conflict/Insecurity,A) Alone,A) Yes,A) Yes,B) No,A) Friendly,B) Attacks by locals,,A) Yes,B) Livelihood programs,Constant collaboration 
2/17/2026 9:21:36,C) 36-45,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and living conditions of the current location ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,A) More security presence, solve cameroonia problems to improve the relationship both Nigerians and cameroonia refugees 
2/17/2026 9:33:15,D) 46-60,B) Female,A) Cameroonian,D) More than 6 years,,A) Conflict/Insecurity,B) With family,insecurity and living conditions of the current location ,A) Yes,A) Yes,B) Neutral,C) Economic exploitation,,A) Yes,B) Livelihood programs,improve the living conditions to both Nigerians and cameroonia refugees 
